fecha	hora	real	programado	desviacion	porcentaje
2016-01-13	10	8685,932698	2034,3	-6651,632698	-326,9740302806862300
2016-01-13	11	9033,952155	2010,7	-7023,252155	-349,2938854627741600
2016-01-13	12	9142,514808	2007,7	-7134,814808	-355,3725560591721900
2016-01-13	13	9215,699853	1997,9	-7217,799853	-361,2693254417138000
2016-01-13	14	9220,16287299999	1992,3	-7227,86287299999	-362,7898847061180500
2016-01-13	15	9308,356305	1986,4	-7321,956305	-368,6043246576721700
2016-01-13	16	9385,274486	1995,3	-7389,974486	-370,3690916654137200
2016-01-13	17	9335,083473	2005,6	-7329,483473	-365,4509110989230200
2016-01-13	18	9092,68366400001	2010,3	-7082,38366400001	-352,3048134109341900
2016-01-13	19	8745,31374	2019,5	-6725,81374	-333,0435127506808600
2016-01-13	20	8649,084992	2045,2	-6603,884992	-322,8967823195775500
2016-01-13	21	8563,910646	2084,4	-6479,510646	-310,8573520437536000
2016-01-13	22	9057,27107	2123,2	-6934,07107	-326,5858642614920900
2016-01-13	23	9107,416422	2124,0	-6983,416422	-328,7860838983050800
2016-01-13	24	8610,251166	2109,5	-6500,751166	-308,1654973216402000
2016-01-14	1	8214,418311	2076,6	-6137,818311	-295,5705629875758500
2016-01-14	2	7758,078571	2048,0	-5710,078571	-278,8124302246093800
2016-01-14	3	7491,957045	2028,9	-5463,057045	-269,2620161171077900
2016-01-14	4	7382,731618	2032,1	-5350,631618	-263,3055271886226100
2016-01-14	5	7412,330572	2028,3	-5384,030572	-265,4454751269536100
2016-01-14	6	7473,744279	2020,2	-5453,544279	-269,9507117612117600
2016-01-14	7	7634,5976	2040,4	-5594,1976	-274,1716134091354600
2016-01-14	8	7769,498639	2021,6	-5747,898639	-284,3242302631578900
2016-01-14	9	8328,218427	1988,4	-6339,818427	-318,8401944779722400
2016-01-14	10	8887,928579	2001,4	-6886,528579	-344,0855690516638400
2016-01-14	11	9114,951548	1998,5	-7116,451548	-356,0896446334751100
2016-01-14	12	9208,729485	1994,8	-7213,929485	-361,6367297473430900
2016-01-14	13	9297,400563	1985,4	-7312,000563	-368,2885344514959200
2016-01-14	14	9311,771839	1979,1	-7332,671839	-370,5053730988833300
2016-01-14	15	9414,865767	1973,7	-7441,165767	-377,0160493996048000
2016-01-14	16	9477,261637	2077,2	-7400,061637	-356,2517637685345700
2016-01-14	17	9457,413389	2150,2	-7307,213389	-339,8387772765324200
2016-01-14	18	9245,187373	2155,9	-7089,287373	-328,8319204508557900
2016-01-14	19	8926,485733	2168,3	-6758,185733	-311,6813048471152500
2016-01-14	20	8731,001903	2192,5	-6538,501903	-298,2212954618016000
